player_id,player_name,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pts,plus_minus,nba_fantasy_pts,dd2,td3,e_off_rating,e_def_rating,e_net_rating,ast_pct,ast_to,reb_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,pace,pace_per40,pie,year
2544,LeBron James,LAL,36,11,0.636,37,9.6,19.9,0.484,2.9,8.5,0.344,3.6,4.8,0.755,0.5,4.7,5.2,6.8,3.7,1.8,0.7,25.8,0,46.2,3,0,109.9,108.7,1.2,0.296,1.83,0.07,11.4,0.557,0.586,0.292,101.5,84.59,0.147,2021
2546,Carmelo Anthony,LAL,37,23,0.522,28.7,4.9,11.2,0.436,2.7,6.3,0.421,2,2.3,0.833,0.7,3,3.7,0.9,0.8,0.8,0.7,14.3,0.4,23.6,0,0,110.2,108.2,2.1,0.044,1.11,0.062,5.6,0.554,0.588,0.189,102.37,85.31,0.084,2021
2617,Udonis Haslem,MIA,41,4,0.75,4.2,0.8,1.5,0.5,0,0.3,0,0,0,0,0.3,1,1.3,0.3,0,0,0.3,1.5,1.5,4.1,0,0,97.8,80.4,17.4,0.091,0,0.132,0,0.5,0.5,0.133,103.46,86.22,0.123,2021
2730,Dwight Howard,LAL,35,20,0.45,14.7,1.8,2.7,0.667,0.3,0.4,0.714,1.3,2.1,0.619,1.5,3.8,5.3,0.4,1,0.9,0.7,5.2,0.5,15.6,1,0,107.3,105.7,1.6,0.037,0.4,0.173,19.9,0.713,0.711,0.134,101.29,84.41,0.117,2021
2738,Andre Iguodala,GSW,37,12,0.833,20.8,1.5,3.6,0.419,0.4,1.9,0.217,0.3,0.5,0.667,0.7,2.8,3.5,3.8,0.8,0.8,0.8,3.8,9.3,17.6,0,0,109.9,87.4,22.5,0.236,5,0.079,9,0.477,0.493,0.093,100.8,84,0.105,2021
101108,Chris Paul,PHX,36,21,0.857,32.2,5.1,10.8,0.476,1.1,3.1,0.348,3.1,3.7,0.846,0.3,3.9,4.2,10.1,2.3,2.1,0.3,14.5,5.4,39.6,10,0,112.5,102.8,9.7,0.415,4.44,0.063,9.2,0.526,0.584,0.198,101.01,84.17,0.15,2021
101150,Lou Williams,ATL,35,17,0.588,13,2.4,6.1,0.388,0.6,1.6,0.357,1.1,1.2,0.857,0.3,1.2,1.5,1.5,0.7,0.5,0.1,6.4,-0.4,11.5,0,0,105.7,107.3,-1.6,0.184,2.08,0.054,8,0.437,0.481,0.235,100.22,83.52,0.085,2021
200746,LaMarcus Aldridge,BKN,36,20,0.7,22.6,5.8,10.2,0.571,0.5,1.2,0.375,1.5,1.9,0.789,1.5,4.4,5.9,0.9,0.7,0.3,1.2,13.6,3.3,25.7,1,0,112.1,104.4,7.7,0.062,1.31,0.124,5.2,0.594,0.617,0.224,99.82,83.19,0.143,2021
200752,Rudy Gay,UTA,35,7,0.714,18.9,3.7,7.1,0.52,2.4,4.6,0.531,1,1.4,0.7,0.4,4.4,4.9,1.4,0.9,0.1,0.3,10.9,9,19.3,0,0,128.8,103.8,25,0.102,1.67,0.127,8.5,0.69,0.699,0.199,101,84.17,0.129,2021
200765,Rajon Rondo,LAL,35,14,0.357,14.9,1.4,4.5,0.317,0.5,1.8,0.28,0,0,0,0.6,1.9,2.4,3.6,1.6,0.8,0.2,3.4,-0.5,13,0,0,99.3,101.2,-2,0.34,2.17,0.072,16.9,0.373,0.373,0.165,105.77,88.15,0.068,2021
200768,Kyle Lowry,MIA,35,20,0.6,33.8,4.3,10.2,0.417,1.9,6.1,0.306,1.9,2.1,0.905,0.6,4.3,4.8,7.6,2.9,1.2,0.3,12.3,2.9,30.8,4,1,107.6,103.6,4,0.326,2.6,0.07,13.4,0.507,0.551,0.177,99.45,82.88,0.108,2021
200782,P.J. Tucker,MIA,36,22,0.591,27.8,2.6,5.2,0.504,1.1,2.6,0.439,0.4,0.5,0.818,1.7,4,5.7,1.5,0.8,0.6,0.2,6.8,0.8,17.6,2,0,107.2,106.7,0.4,0.081,2,0.102,10,0.613,0.626,0.098,96,80,0.079,2021
200794,Paul Millsap,BKN,36,16,0.688,11.2,0.9,2.9,0.326,0.3,1.3,0.238,0.6,0.8,0.769,0.8,2.6,3.4,0.8,0.5,0.3,0.3,2.8,1.1,9.2,0,0,107.3,101,6.3,0.103,1.5,0.133,11.2,0.38,0.435,0.144,98.59,82.16,0.053,2021
201142,Kevin Durant,BKN,33,20,0.7,35.8,10.4,19.2,0.539,1.9,4.8,0.389,6,7,0.863,0.5,7.1,7.5,5.6,3,0.7,0.7,28.6,4.2,46.9,6,1,110.7,103.9,6.8,0.272,1.85,0.101,9.7,0.587,0.641,0.306,101.72,84.77,0.19,2021
201143,Al Horford,BOS,35,19,0.579,28.8,4.5,9.8,0.46,1.3,4.2,0.304,2.1,2.4,0.848,1.6,6.7,8.3,3.2,1.2,0.7,1.8,12.4,-0.8,33.5,8,0,101.5,101.9,-0.4,0.182,2.73,0.138,7.6,0.524,0.567,0.183,98.96,82.47,0.145,2021
